                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.82527,                0.54065,                 1.0883,                0.93276,                0.85491,                0.92084,                0.63114,                 1.1515,                0.52487,                 1.2618,               0.004852,               0.004852,               0.004852
                     55,                0.82711,                0.54414,                 1.0839,                0.91021,                0.87815,                0.91881,                0.63348,                 1.1435,                0.52276,                  1.246,               0.004753,               0.004753,               0.004753
                     56,                  0.819,                0.53667,                 1.0817,                0.90901,                0.86924,                0.91282,                0.63303,                 1.1385,                0.52835,                 1.2712,               0.004654,               0.004654,               0.004654
                     57,                0.83166,                0.53909,                 1.0855,                 0.9143,                0.87326,                0.92179,                0.64733,                 1.1081,                0.52348,                 1.2286,               0.004555,               0.004555,               0.004555
                     58,                0.80862,                0.52531,                 1.0697,                0.92049,                0.86334,                0.92163,                0.63722,                 1.1334,                0.52125,                 1.2504,               0.004456,               0.004456,               0.004456
                     59,                0.81085,                0.52683,                 1.0744,                0.91961,                0.87447,                0.91787,                0.64423,                 1.1071,                0.51374,                 1.2269,               0.004357,               0.004357,               0.004357
                     60,                 0.7958,                0.51555,                 1.0728,                0.90484,                0.88341,                0.92033,                0.64208,                 1.1202,                0.51938,                 1.2542,               0.004258,               0.004258,               0.004258
                     61,                0.79365,                0.51467,                 1.0611,                0.93861,                 0.8588,                0.92657,                0.64485,                 1.1282,                0.51276,                 1.2434,               0.004159,               0.004159,               0.004159
                     62,                0.78451,                0.50711,                 1.0567,                0.93175,                0.86964,                0.92213,                0.64258,                 1.1348,                0.51913,                 1.2465,                0.00406,                0.00406,                0.00406
                     63,                0.78691,                0.50504,                 1.0555,                0.92914,                 0.8688,                0.92086,                0.64161,                 1.1233,                0.51796,                 1.2396,               0.003961,               0.003961,               0.003961
                     64,                0.77368,                0.49462,                 1.0498,                0.91523,                0.88193,                0.92165,                0.64507,                   1.13,                0.51467,                 1.2469,               0.003862,               0.003862,               0.003862
                     65,                0.76146,                0.49238,                 1.0516,                0.94201,                0.85548,                0.92797,                0.64666,                 1.1246,                0.51517,                 1.2489,               0.003763,               0.003763,               0.003763
                     66,                0.76225,                 0.4926,                 1.0531,                0.93219,                0.86436,                0.91906,                0.63987,                 1.1307,                0.51965,                 1.2626,               0.003664,               0.003664,               0.003664
                     67,                0.76529,                0.49097,                  1.051,                0.92495,                0.87946,                0.92294,                0.63709,                 1.1194,                0.50578,                  1.252,               0.003565,               0.003565,               0.003565
                     68,                0.75062,                0.47939,                 1.0343,                 0.9287,                0.87401,                0.92259,                0.64584,                 1.1085,                0.50778,                 1.2358,               0.003466,               0.003466,               0.003466
                     69,                0.75273,                0.47384,                 1.0422,                0.92205,                0.87525,                0.92069,                0.64628,                 1.1077,                0.51747,                 1.2528,               0.003367,               0.003367,               0.003367
                     70,                0.73409,                0.46176,                 1.0355,                0.92777,                0.87264,                0.92356,                0.64648,                 1.1188,                0.51303,                 1.2451,               0.003268,               0.003268,               0.003268
                     71,                0.72931,                 0.4691,                 1.0301,                0.92421,                0.87639,                  0.927,                0.65075,                  1.107,                0.50059,                 1.2387,               0.003169,               0.003169,               0.003169
                     72,                 0.7395,                0.46989,                 1.0338,                0.92644,                0.87079,                0.92112,                0.64508,                 1.1229,                0.51889,                 1.2456,                0.00307,                0.00307,                0.00307
                     73,                0.72657,                 0.4557,                  1.029,                0.91342,                0.88719,                0.92806,                0.64658,                 1.1249,                0.50051,                 1.2398,               0.002971,               0.002971,               0.002971
                     74,                0.71837,                0.45407,                 1.0265,                0.93862,                0.86659,                0.92419,                0.65041,                  1.116,                0.50638,                 1.2446,               0.002872,               0.002872,               0.002872
                     75,                0.70594,                0.45391,                 1.0208,                 0.9352,                0.87009,                0.92604,                0.64769,                 1.1171,                0.51187,                 1.2506,               0.002773,               0.002773,               0.002773
                     76,                 0.7059,                0.45001,                 1.0134,                0.93598,                0.87253,                0.92345,                0.64357,                 1.1261,                0.50058,                 1.2412,               0.002674,               0.002674,               0.002674
                     77,                0.69856,                0.44601,                 1.0081,                0.93513,                  0.871,                0.92669,                0.64792,                 1.1244,                0.50078,                 1.2581,               0.002575,               0.002575,               0.002575
                     78,                0.69192,                0.43435,                 1.0062,                 0.9444,                0.87097,                0.93012,                0.64993,                 1.1144,                0.48718,                 1.2411,               0.002476,               0.002476,               0.002476
                     79,                0.68405,                0.43159,                 1.0062,                0.93903,                0.86542,                0.92557,                0.64753,                 1.1173,                0.50585,                 1.2515,               0.002377,               0.002377,               0.002377
                     80,                0.67827,                0.42499,                 1.0021,                0.94937,                  0.859,                0.92586,                0.64585,                 1.1163,                0.50437,                 1.2697,               0.002278,               0.002278,               0.002278
                     81,                0.66521,                 0.4275,                 1.0012,                0.94928,                0.86861,                0.92612,                 0.6516,                 1.1133,                0.49982,                 1.2549,               0.002179,               0.002179,               0.002179
                     82,                0.65482,                0.41507,                 0.9938,                0.92469,                0.88211,                0.92617,                0.65649,                 1.0981,                0.49454,                 1.2437,                0.00208,                0.00208,                0.00208
                     83,                0.65892,                0.41389,                0.99336,                0.91594,                0.88834,                0.92986,                0.65624,                 1.1139,                0.49821,                 1.2593,               0.001981,               0.001981,               0.001981
                     84,                0.65524,                0.40866,                0.99165,                 0.9265,                0.87861,                0.93008,                0.65525,                 1.1068,                0.49329,                 1.2571,               0.001882,               0.001882,               0.001882
                     85,                0.65295,                0.41074,                0.99303,                0.92912,                0.88393,                0.93032,                0.65798,                 1.0979,                0.49401,                 1.2445,               0.001783,               0.001783,               0.001783
                     86,                0.65093,                0.41105,                0.99265,                0.92679,                0.88673,                0.92942,                0.65462,                 1.1089,                0.49221,                   1.25,               0.001684,               0.001684,               0.001684
                     87,                0.64139,                0.40865,                0.98847,                0.91902,                0.88769,                0.92897,                0.65958,                  1.111,                0.49136,                 1.2445,               0.001585,               0.001585,               0.001585
                     88,                0.63294,                0.40451,                0.98312,                0.92363,                0.88527,                0.92871,                0.65358,                 1.1095,                0.48862,                 1.2567,               0.001486,               0.001486,               0.001486
                     89,                0.63407,                0.39999,                0.98002,                0.93377,                0.88441,                0.92687,                0.65201,                 1.1192,                0.48718,                 1.2711,               0.001387,               0.001387,               0.001387
                     90,                0.63642,                0.40078,                0.98183,                0.93492,                0.88596,                0.93007,                0.65494,                 1.1097,                0.48759,                  1.268,               0.001288,               0.001288,               0.001288
                     91,                0.62471,                0.33384,                0.96203,                0.93107,                0.87204,                0.92075,                0.64431,                 1.1155,                0.50001,                 1.2667,               0.001189,               0.001189,               0.001189
                     92,                0.60596,                0.32098,                0.95812,                 0.9362,                0.87594,                0.92479,                0.64822,                 1.1166,                0.49541,                 1.2767,                0.00109,                0.00109,                0.00109
                     93,                0.59266,                0.31586,                0.95125,                 0.9269,                0.87939,                0.92361,                0.64896,                  1.114,                 0.4954,                 1.2814,               0.000991,               0.000991,               0.000991
                     94,                0.57828,                0.30892,                0.94371,                0.93201,                0.87872,                0.92582,                0.65242,                 1.1051,                0.49236,                 1.2767,               0.000892,               0.000892,               0.000892
                     95,                0.57397,                0.30791,                0.94229,                0.93807,                0.87018,                0.92476,                0.65176,                 1.1173,                0.49572,                 1.2877,               0.000793,               0.000793,               0.000793
                     96,                0.57153,                0.30675,                0.94146,                0.93321,                0.87642,                0.92726,                0.65468,                 1.1113,                0.49175,                  1.284,               0.000694,               0.000694,               0.000694
                     97,                0.55819,                0.29926,                0.93309,                0.93033,                0.88221,                0.92622,                0.65365,                 1.1066,                0.48915,                 1.2842,               0.000595,               0.000595,               0.000595
                     98,                  0.552,                 0.2965,                0.92733,                0.93006,                0.87985,                0.92543,                0.65363,                 1.1056,                0.49572,                 1.2883,               0.000496,               0.000496,               0.000496
                     99,                0.54908,                0.29236,                0.92937,                0.92873,                0.88067,                0.92585,                0.65372,                 1.1096,                 0.4919,                 1.2894,               0.000397,               0.000397,               0.000397
                    100,                0.54668,                0.29371,                0.92674,                0.93237,                0.88138,                 0.9265,                0.65565,                 1.0998,                0.48994,                  1.287,               0.000298,               0.000298,               0.000298
